NAME,FOREIGN NAME,CATEGORY
an mu xi ambrosial yoghurt original flavor - 205g (2 bottles),安慕希 希腊风味酸奶 原味 205g (2瓶),Beverages
an mu xi ambrosial yoghurt strawberry & oat flavor (2 bottles),安慕希 希腊风味酸奶 草莓燕麦味 (2瓶),Beverages
an mu xi ambrosial yogurt cheese flavor (2 bottle),安慕希 希腊风味酸奶 芝士波波球味 (2瓶),Beverages
an mu xi ambrosial yogurt mango passion fruit flavor (2 bottles),安慕希 希腊风味酸奶 芒果百香果味 (2瓶),Beverages
apple sidra (6 pc),苹果西打 (6罐),Beverages
artic ocean tangerine drink - 330ml (1 can),北冰洋 桔汁汽水 330ml (1罐),Beverages
assam green milk tea - 400ml (6 packs),阿萨姆绿奶茶 400ml (6盒),Beverages
assam milk tea - 400ml (6 pack),阿萨姆奶茶 400ml (6盒),Beverages
assam milk tea strawberry flavor - 400ml (6 packs),阿萨姆奶茶 草莓味 400ml (6盒),Beverages
assam milk tea vanilla flavor - 400ml (6 packs),阿萨姆奶茶 香草味 400ml (6盒),Beverages
beijing classic yoghurt (m),北京老酸奶 (中杯),Beverages
calpico mini non-carbonated probiotics drink lychee & mango flavor - 90ml (4 packs),CALPICO 迷你无碳酸天然乳酸菌饮料 荔枝芒果味 90ml (4罐),Beverages
calpico mini non-carbonated probiotics drink original flavor - 90ml (4 packs),CALPICO 迷你无碳酸天然乳酸菌饮料 90ml 原味 (4罐),Beverages
calpico mini non-carbonated probiotics drink strawberry flavor - 360ml (4 pc),CALPICO 迷你无碳酸天然乳酸菌饮料 草莓味 360ml (4盒),Beverages
calpico non-carbonated probiotics drink lychee flavor - 500ml,CALPICO 无碳酸天然乳酸菌饮料 荔枝味 500ml,Beverages
calpico non-carbonated probiotics drink mango flavor - 500ml,CALPICO 无碳酸天然乳酸菌饮料 芒果味 500ml,Beverages
calpico non-carbonated probiotics drink original flavor - 500ml,CALPICO 无碳酸天然乳酸菌饮料 原味 500ml,Beverages
calpico non-carbonated probiotics drink strawberry flavor - 500ml,CALPICO 无碳酸天然乳酸菌饮料 草莓味 500ml,Beverages
calpico non-carbonated probiotics drink white peach flavor - 500ml,CALPICO 无碳酸天然乳酸菌饮料 桃子味 500ml,Beverages
dou ben dou soy milk original flavor - 360ml,豆本豆 豆奶 原味 360ml,Beverages
fruit meet tea vigorously shaking milk tea mixed package - 53g (5 packs),果遇茶 网红爆摇奶茶 混合裝 53g (5包),Beverages
fujiya ramune soda lychee flavor - 200ml,FUJIYA不二家 弹珠汽水 荔枝味 200ml,Beverages
fujiya ramune soda original flavor - 200ml,FUJIYA不二家 弹珠汽水 原味 200ml,Beverages
fujiya ramune soda peach flavor - 200ml,FUJIYA不二家 弹珠汽水 蜜桃味 200ml,Beverages
genki forest brown rice oolong tea 500ml (2 bottles),元气森林 燃茶 无糖玄米乌龙茶 500ml (2瓶),Beverages
genki forest milk tea jasmine flavor - 450ml,元气森林 乳茶 茉香奶绿 450ml,Beverages
